DateTime,Open,High,Low,Close,HL
2006-05-18 02:35:00,16180,16181,16175,16181,Day Low
2006-05-19 02:03:00,16165,16165,16156,16164,Day Low
2006-05-19 06:35:00,16362,16362,16335,16338,Day High
2006-05-22 02:00:00,16301,16307,16290,16298,Day High
2006-05-22 07:58:00,15796,15827,15786,15799,Day Low
2006-05-23 06:59:00,15709,15709,15691,15696,Day Low
2006-05-23 07:57:00,15885,15895,15878,15886,Day High
2006-05-23 07:59:00,15884,15895,15855,15882,Day High
2006-05-24 02:00:00,15930,15930,15854,15859,Day High
2006-05-24 04:27:00,15681,15681,15672,15677,Day Low
2006-05-24 04:29:00,15677,15678,15672,15674,Day Low
2006-05-24 06:38:00,15921,15930,15916,15921,Day High
2006-05-25 02:00:00,15758,15768,15742,15754,Day High
2006-05-25 06:48:00,15634,15638,15627,15633,Day Low
2006-05-26 02:00:00,15760,15900,15760,15892,Day Low
2006-05-26 07:17:00,15919,15946,15919,15927,Day High
2006-05-29 04:13:00,16005,16006,16000,16000,Day High
2006-05-29 07:35:00,15923,15926,15919,15919,Day Low
2006-05-30 02:00:00,15978,15979,15947,15948,Day High
2006-05-30 07:59:00,15880,15880,15838,15853,Day Low
2006-06-01 02:45:00,15923,15923,15916,15916,Day High
2006-06-01 07:57:00,15614,15623,15603,15609,Day Low
2006-06-02 02:37:00,15679,15691,15673,15691,Day Low
2006-06-02 07:59:00,15912,15926,15901,15920,Day High
2006-06-05 02:00:00,15939,15955,15936,15954,Day Low
2006-06-05 03:45:00,16040,16057,16040,16054,Day High
2006-06-06 02:15:00,15823,15824,15819,15820,Day Low
2006-06-06 07:59:00,15964,15976,15948,15962,Day High
2006-06-07 02:04:00,15933,15936,15927,15930,Day High
2006-06-07 07:39:00,15776,15796,15774,15789,Day Low
2006-06-08 02:00:00,15829,15829,15609,15619,Day High
2006-06-08 07:52:00,15432,15445,15424,15440,Day Low
2006-06-08 07:54:00,15442,15449,15424,15435,Day Low
2006-06-09 03:57:00,15409,15416,15402,15415,Day Low
2006-06-09 07:59:00,15619,15644,15605,15615,Day High
2006-06-12 02:35:00,15514,15514,15510,15510,Day Low
2006-06-12 02:36:00,15510,15515,15510,15512,Day Low
2006-06-12 07:14:00,15680,15687,15664,15680,Day High
2006-06-12 07:15:00,15683,15687,15668,15676,Day High
2006-06-13 02:00:00,15494,15498,15442,15446,Day High
2006-06-13 07:45:00,15212,15220,15201,15220,Day Low
2006-06-14 02:00:00,15189,15270,15189,15268,Day Low
2006-06-14 06:30:00,15393,15397,15365,15374,Day High
2006-06-15 02:19:00,15448,15455,15448,15452,Day High
2006-06-15 04:26:00,15359,15361,15355,15361,Day Low
2006-06-15 07:59:00,15426,15455,15422,15441,Day High
2006-06-16 02:00:00,15572,15752,15572,15733,Day Low
2006-06-16 07:52:00,15843,15860,15841,15846,Day High
2006-06-16 07:53:00,15839,15860,15836,15850,Day High
2006-06-19 02:52:00,15725,15725,15725,15725,Day Low
2006-06-19 02:53:00,15725,15725,15725,15725,Day Low
2006-06-19 02:58:00,15727,15727,15725,15725,Day Low
2006-06-19 07:59:00,15758,15790,15752,15788,Day High
2006-06-20 02:00:00,15703,15723,15682,15689,Day High
2006-06-20 06:31:00,15557,15564,15555,15561,Day Low
2006-06-20 06:32:00,15557,15559,15555,15557,Day Low
2006-06-21 03:55:00,15529,15530,15521,15521,Day Low
2006-06-21 03:56:00,15521,15524,15521,15524,Day Low
2006-06-21 07:59:00,15663,15672,15647,15659,Day High
2006-06-22 02:00:00,15723,15858,15723,15853,Day Low
2006-06-22 06:38:00,15889,15892,15887,15887,Day High
2006-06-23 02:06:00,15688,15689,15683,15683,Day Low
2006-06-23 02:10:00,15687,15688,15683,15688,Day Low
2006-06-23 07:39:00,15819,15829,15805,15819,Day High
2006-06-26 02:05:00,15727,15738,15727,15736,Day Low
2006-06-26 03:33:00,15727,15733,15727,15733,Day Low
2006-06-26 06:35:00,15841,15841,15827,15835,Day High
2006-06-27 03:00:00,15891,15893,15885,15892,Day High
2006-06-27 07:59:00,15773,15789,15767,15778,Day Low
2006-06-28 02:01:00,15627,15629,15606,15624,Day Low
2006-06-28 07:59:00,15727,15751,15727,15741,Day High
2006-06-29 02:00:00,15762,15894,15762,15894,Day Low
2006-06-29 07:09:00,15902,15916,15902,15907,Day High
2006-06-30 02:00:00,15966,16175,15966,16159,Day Low
2006-06-30 07:59:00,16238,16274,16238,16262,Day High
2006-07-03 02:14:00,16237,16240,16235,16235,Day Low
2006-07-03 03:58:00,16367,16367,16360,16363,Day High
2006-07-04 03:05:00,16313,16316,16313,16313,Day Low
2006-07-04 03:44:00,16378,16385,16375,16375,Day High
2006-07-04 06:49:00,16315,16315,16313,16313,Day Low
2006-07-04 06:51:00,16313,16321,16313,16321,Day Low
2006-07-05 02:00:00,16396,16396,16348,16350,Day High
2006-07-05 07:59:00,16273,16288,16247,16261,Day Low
2006-07-06 02:01:00,16153,16162,16139,16162,Day Low
2006-07-06 07:52:00,16435,16448,16422,16431,Day High
2006-07-10 02:03:00,16347,16352,16341,16352,Day Low
2006-07-10 07:59:00,16594,16612,16562,16591,Day High
2006-07-11 02:00:00,16574,16574,16517,16528,Day High
2006-07-11 07:59:00,16490,16493,16472,16482,Day Low
2006-07-12 02:14:00,16553,16553,16539,16549,Day High
2006-07-12 02:20:00,16540,16553,16540,16549,Day High
2006-07-12 02:21:00,16553,16553,16549,16549,Day High
2006-07-12 04:23:00,16437,16438,16435,16438,Day Low
2006-07-12 04:24:00,16437,16440,16435,16440,Day Low
2006-07-13 02:11:00,16558,16560,16554,16558,Day High
2006-07-13 07:59:00,16300,16315,16283,16309,Day Low
2006-07-14 03:48:00,16064,16064,16062,16062,Day Low
